id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1491016860552290304	1491001680174981123	2022-02-08 17:21:35 IST	2022-02-08	17:21:35	+0530	16143542	astonmartinf1	Aston Martin Aramco Cognizant F1 Team		@SendItRic3 @ConorMcDPhoto Turn on those notifications, Ajla. We don't want you missing a thing.	en	[]	[]	[]	1	0	2	[]	[]	https://twitter.com/AstonMartinF1/status/1491016860552290304	False		0								[{'screen_name': 'SendItRic3', 'name': 'Ajla', 'id': '2871834800'}, {'screen_name': 'ConorMcDPhoto', 'name': 'Conor McDonnell', 'id': '24150893'}]				
1491001680174981123	1491001680174981123	2022-02-08 16:21:16 IST	2022-02-08	16:21:16	+0530	16143542	astonmartinf1	Aston Martin Aramco Cognizant F1 Team		Who wants to join us behind the scenes as we prepare for launch day?  Stay tuned...  @ConorMcDPhoto | #WeClimbTogether  https://t.co/Vq8Dl46d0V	en	[{'screen_name': 'conormcdphoto', 'name': 'conor mcdonnell', 'id': '24150893'}]	[]	[]	34	20	400	['weclimbtogether']	[]	https://twitter.com/AstonMartinF1/status/1491001680174981123	False		1	https://pbs.twimg.com/amplify_video_thumb/1490996198039330816/img/sHpxnsJQPC8cKUjV.jpg							[]				
1490978330992128006	1490843044547112961	2022-02-08 14:48:29 IST	2022-02-08	14:48:29	+0530	16143542	astonmartinf1	Aston Martin Aramco Cognizant F1 Team		@f0rmulamel 🙌	und	[]	[]	[]	0	0	1	[]	[]	https://twitter.com/AstonMartinF1/status/1490978330992128006	False		0								[{'screen_name': 'f0rmulamel', 'name': '🍄 melissa⁵', 'id': '3491653516'}]				
1490978266081107968	1490844345116725250	2022-02-08 14:48:14 IST	2022-02-08	14:48:14	+0530	16143542	astonmartinf1	Aston Martin Aramco Cognizant F1 Team		@sunsetgasly @Femketjeeex We love to see this, Dani! Send us some pictures when it arrives. 😊	en	[]	[]	[]	1	0	7	[]	[]	https://twitter.com/AstonMartinF1/status/1490978266081107968	False		0								[{'screen_name': 'sunsetgasly', 'name': 'Dani || 💪🧡MAX WDC🧡💪', 'id': '3439629352'}, {'screen_name': 'Femketjeeex', 'name': 'femke', 'id': '1338102646356504578'}]				
1490977183162114052	1490914133487001600	2022-02-08 14:43:56 IST	2022-02-08	14:43:56	+0530	16143542	astonmartinf1	Aston Martin Aramco Cognizant F1 Team		@f1sv5 Wow, this is amazing! Happy Birthday, Cia. We hope you have a great day.	en	[]	[]	[]	3	0	26	[]	[]	https://twitter.com/AstonMartinF1/status/1490977183162114052	False		0								[{'screen_name': 'f1sv5', 'name': 'cia', 'id': '1468508555557105670'}]				
1490747194084782083	1490747194084782083	2022-02-07 23:30:02 IST	2022-02-07	23:30:02	+0530	16143542	astonmartinf1	Aston Martin Aramco Cognizant F1 Team		We're bringing you with us every step of the way, as our new home takes shape.  Join Guy Austin, Project Manager for the @AstonMartinF1 HQ, as he gives you a closer look at how a campus, dedicated to cutting edge technology, comes to be.  WATCH ➡️  https://t.co/JUJO5JsqwV  https://t.co/CNTEyFa2PI	en	[{'screen_name': 'astonmartinf1', 'name': 'aston martin aramco cognizant f1 team', 'id': '16143542'}]	['http://amf1.team/AMF1FactoryUpdate']	[]	19	31	588	[]	[]	https://twitter.com/AstonMartinF1/status/1490747194084782083	False		1	https://pbs.twimg.com/media/FLAfeKcWQAUi2Cm.jpg							[]				
1490716995561611264	1490716995561611264	2022-02-07 21:30:02 IST	2022-02-07	21:30:02	+0530	16143542	astonmartinf1	Aston Martin Aramco Cognizant F1 Team		Let’s make some noise. 💚  As we prepare to reveal our latest soundtrack with the #AMR22 fire-up, sit back, relax and enjoy the sounds of 2021 as you’ve never heard them before, thanks to @Eposaudio.  https://t.co/MSCWk37RRq	en	[{'screen_name': 'eposaudio', 'name': 'epos', 'id': '3352298441'}]	[]	[]	22	91	1262	['amr22']	[]	https://twitter.com/AstonMartinF1/status/1490716995561611264	False		1	https://pbs.twimg.com/media/FLANDScXwAUUPT5.jpg							[]				
1490716797913419776	1490612008600981504	2022-02-07 21:29:15 IST	2022-02-07	21:29:15	+0530	16143542	astonmartinf1	Aston Martin Aramco Cognizant F1 Team		@shige5vettel5 This is everything. 💚   We're so excited for you to see the #AMR22!	en	[]	[]	[]	1	0	7	['amr22']	[]	https://twitter.com/AstonMartinF1/status/1490716797913419776	False		0								[{'screen_name': 'shige5vettel5', 'name': '🟩 ୧⃛(๑⃙⃘シᴗゲ๑⃙⃘)୨⃛ ୧⃛(๑⃙⃘Seb๑⃙⃘)୨⃛ 🐝', 'id': '1345012944258519041'}]				
1490679283974647810	1490679283974647810	2022-02-07 19:00:11 IST	2022-02-07	19:00:11	+0530	16143542	astonmartinf1	Aston Martin Aramco Cognizant F1 Team		One final showdown. Two happy Sebs. 💚  This weekend saw Sebastian Vettel take to the snow in the @RaceOfChampions final against @SebastienLoeb.  Click below to catch up on what went down when two legends of motorsport went head to head.  #ROCSweden	en	[{'screen_name': 'raceofchampions', 'name': '#rocsweden', 'id': '28105233'}, {'screen_name': 'sebastienloeb', 'name': 'sébastien loeb', 'id': '2253219642'}]	[]	[]	36	87	1503	['rocsweden']	[]	https://twitter.com/AstonMartinF1/status/1490679283974647810	False		0								[]				
1490673833757618182	1490652238875873281	2022-02-07 18:38:32 IST	2022-02-07	18:38:32	+0530	16143542	astonmartinf1	Aston Martin Aramco Cognizant F1 Team		@carryfiasco @socios Congratulations, Caroline! We can't wait to see you there.	en	[]	[]	[]	2	0	7	[]	[]	https://twitter.com/AstonMartinF1/status/1490673833757618182	False		0								[{'screen_name': 'carryfiasco', 'name': '#IAM ✨ CAROLINE ✨', 'id': '19663923'}, {'screen_name': 'socios', 'name': 'Socios.com', 'id': '1001022572186820608'}]				
