id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1490686750267789313	1490686750267789313	2022-02-07 19:29:51 IST	2022-02-07	19:29:51	+0530	837733087035412480	f1_experiences	F1 Experiences		Join us in sending birthday wishes to @PierreGASLY! 🎂  The AlphaTauri driver turns 2️⃣6️⃣ today 🥳  #ExperienceF1 #HappyBirthdayPierre  https://t.co/14PzUXiRsa	en	[{'screen_name': 'pierregasly', 'name': 'pierre gasly 🇫🇷', 'id': '537951506'}]	[]	['https://pbs.twimg.com/media/FK_6lebXMAMgJZb.jpg']	0	16	62	['experiencef1', 'happybirthdaypierre']	[]	https://twitter.com/f1_experiences/status/1490686750267789313	False		1	https://pbs.twimg.com/media/FK_6lebXMAMgJZb.jpg							[]				
1489641956405825536	1489641956405825536	2022-02-04 22:18:13 IST	2022-02-04	22:18:13	+0530	837733087035412480	f1_experiences	F1 Experiences		We're pleased to confirm that @ValtteriBottas and @GuanyuZhou24 will be our guests at select races this season.  🇦🇺 Melbourne - Bottas 🇮🇹 Imola - Zhou 🇧🇪 Spa - Bottas 🇺🇸 Austin - Bottas 🇧🇷 São Paulo - Zhou 🇦🇪 Abu Dhabi - Zhou  Follow the link for details ⬇️  #ExperienceF1	en	[{'screen_name': 'valtteribottas', 'name': 'valtteri bottas', 'id': '1143472657'}, {'screen_name': 'guanyuzhou24', 'name': '周冠宇 | guanyu zhou 🇨🇳', 'id': '1091070048'}]	[]	[]	0	0	6	['experiencef1']	[]	https://twitter.com/f1_experiences/status/1489641956405825536	False		0								[]				
1489555765488721920	1489555765488721920	2022-02-04 16:35:43 IST	2022-02-04	16:35:43	+0530	837733087035412480	f1_experiences	F1 Experiences		BREAKING: The @HaasF1Team have revealed their 2022 car, named the #VF22.  It is the first of the new-era cars to be launched.  What do you think? 👀  #ExperienceF1 #HaasF1  https://t.co/GcvKhNFZCa	en	[{'screen_name': 'haasf1team', 'name': 'haas f1 team', 'id': '2303406624'}]	[]	['https://pbs.twimg.com/media/FKv2vC4WYAAbD1p.jpg', 'https://pbs.twimg.com/media/FKv2vC5X0AMNqKW.jpg', 'https://pbs.twimg.com/media/FKv2vC7XMAMQqQK.jpg', 'https://pbs.twimg.com/media/FKv2vC6XoAI8s9p.jpg']	5	2	35	['vf22', 'experiencef1', 'haasf1']	[]	https://twitter.com/f1_experiences/status/1489555765488721920	False		1	https://pbs.twimg.com/media/FKv2vC4WYAAbD1p.jpg							[]				
1489239689647251461	1489239689647251461	2022-02-03 19:39:45 IST	2022-02-03	19:39:45	+0530	837733087035412480	f1_experiences	F1 Experiences		Only 11 drivers have so far won a grand prix during the hybrid era*.  Name one you think should have won more with the car and opportunities they've had... 🤔  *2014-2021  #ExperienceF1  https://t.co/etI4bT8XYD	en	[]	[]	['https://pbs.twimg.com/media/FKrXJkKXEAI5Egj.jpg']	5	6	27	['experiencef1']	[]	https://twitter.com/f1_experiences/status/1489239689647251461	False		1	https://pbs.twimg.com/media/FKrXJkKXEAI5Egj.jpg							[]				
1488862297573441549	1488859747872821249	2022-02-02 18:40:08 IST	2022-02-02	18:40:08	+0530	837733087035412480	f1_experiences	F1 Experiences		@74Promotions @F1MikaHakkinen Well we'd argue that wasn't technically a 'substitute' appearance as Michael had been dropped from the team. All the others in this list either came in as a result of a driver being unwell/injured, or having quit the team (in Montoya/Reutemann's case).   Kudos to Mika though 👊	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/f1_experiences/status/1488862297573441549	False		0								[{'screen_name': '74Promotions', 'name': 'Andy Hollis', 'id': '90934204'}, {'screen_name': 'F1MikaHakkinen', 'name': 'Mika Häkkinen', 'id': '718180293962776577'}]				
1488859747872821249	1488859747872821249	2022-02-02 18:30:00 IST	2022-02-02	18:30:00	+0530	837733087035412480	f1_experiences	F1 Experiences		F1 reserve drivers often spend a chunk of their careers waiting for that one 'big break'.   These opportunities can often be career-defining, and they're almost always memorable.  How many of these do you remember?  #ExperienceF1	en	[]	[]	[]	1	0	5	['experiencef1']	[]	https://twitter.com/f1_experiences/status/1488859747872821249	False		0								[]				
1486706961542524929	1486706961542524929	2022-01-27 19:55:35 IST	2022-01-27	19:55:35	+0530	837733087035412480	f1_experiences	F1 Experiences		We're excited to announce seven new packages for this year's #MonacoGP 🇲🇨  ✓ Premium Grandstand Seating ✓ Access to our exclusive Eleni yacht ✓ Ermanno Penthouse Hospitality ✓ Loges VIP Hospitality  Secure your access today ⬇️  #ExperienceF1	en	[]	[]	[]	0	1	8	['monacogp', 'experiencef1']	[]	https://twitter.com/f1_experiences/status/1486706961542524929	False		0								[]				
1484551188263706625	1484551188263706625	2022-01-21 21:09:19 IST	2022-01-21	21:09:19	+0530	837733087035412480	f1_experiences	F1 Experiences		From Spa to Silverstone, Monaco and Monza, F1 retains strong ties to many of the iconic circuits that shaped its formative years.  We've ranked the 10 classic tracks you must experience in 2022 ⬇️  #ExperienceF1	en	[]	[]	[]	0	0	6	['experiencef1']	[]	https://twitter.com/f1_experiences/status/1484551188263706625	False		0								[]				
1484175305627504648	1484171586311651330	2022-01-20 20:15:42 IST	2022-01-20	20:15:42	+0530	837733087035412480	f1_experiences	F1 Experiences		@nigelli64 🟩🟩🟩🟩🟩🟩🟩  Ok, you guys are just too good at this! Correct, it was former Williams and McLaren driver @JPMontoya 👏  https://t.co/O4VKCRfM0Y	en	[{'screen_name': 'jpmontoya', 'name': 'juan pablo montoya', 'id': '21046818'}]	[]	['https://pbs.twimg.com/media/FJjZhVeUYAcOh_H.jpg']	0	0	1	[]	[]	https://twitter.com/f1_experiences/status/1484175305627504648	False		1	https://pbs.twimg.com/media/FJjZhVeUYAcOh_H.jpg							[{'screen_name': 'nigelli64', 'name': 'Nigel Li-F1 hyped!', 'id': '4671195674'}]				
1484174762309943299	1484171586311651330	2022-01-20 20:13:32 IST	2022-01-20	20:13:32	+0530	837733087035412480	f1_experiences	F1 Experiences		@cbRoFL ⬛️🟩⬛️⬛️⬛️⬛️⬛️	und	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/f1_experiences/status/1484174762309943299	False		0								[{'screen_name': 'cbRoFL', 'name': 'cbRoFL', 'id': '75530888'}]				
