id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1491029696246849537	1490749839214321665	2022-02-08 18:12:36 IST	2022-02-08	18:12:36	+0530	2303406624	haasf1team	Haas F1 Team		That was tricky! Well done to everyone who said: Baku, Paul Ricard, Sochi and Spa 👏	en	[]	[]	[]	2	0	29	[]	[]	https://twitter.com/HaasF1Team/status/1491029696246849537	False		0								[]				
1490749839214321665	1490749839214321665	2022-02-07 23:40:33 IST	2022-02-07	23:40:33	+0530	2303406624	haasf1team	Haas F1 Team		Test your track knowledge!   🔢 Can you name where all four of these were taken - answers in the comments 👇  #HaasF1  https://t.co/dEaTns13Km	en	[]	[]	['https://pbs.twimg.com/media/FLA0p00XsAc0t_u.jpg', 'https://pbs.twimg.com/media/FLA0q6fXIAIGeAe.jpg', 'https://pbs.twimg.com/media/FLA0r7eX0AA3uzB.jpg', 'https://pbs.twimg.com/media/FLA0uNJWYAE3IVk.jpg']	80	36	1208	['haasf1']	[]	https://twitter.com/HaasF1Team/status/1490749839214321665	False		1	https://pbs.twimg.com/media/FLA0p00XsAc0t_u.jpg							[]				
1490365160724254725	1490365160724254725	2022-02-06 22:11:58 IST	2022-02-06	22:11:58	+0530	2303406624	haasf1team	Haas F1 Team		Nice weekend on the ice for @SchumacherMick ❄️   Congratulations to @SebastienLoeb on winning a fourth Race of Champions title 🏆🍾   #HaasF1 #ROCSweden  https://t.co/IzjWk8mz5y	en	[{'screen_name': 'schumachermick', 'name': 'mick schumacher', 'id': '902951244549038081'}, {'screen_name': 'sebastienloeb', 'name': 'sébastien loeb', 'id': '2253219642'}]	[]	['https://pbs.twimg.com/media/FK7XNnyXMAQUTJM.jpg', 'https://pbs.twimg.com/media/FK7XNphX0AkblzX.jpg', 'https://pbs.twimg.com/media/FK7XNqGXwAMRs4B.jpg']	10	65	1845	['haasf1', 'rocsweden']	[]	https://twitter.com/HaasF1Team/status/1490365160724254725	False		1	https://pbs.twimg.com/media/FK7XNnyXMAQUTJM.jpg							[]				
1490267751981670405	1490267751981670405	2022-02-06 15:44:54 IST	2022-02-06	15:44:54	+0530	2303406624	haasf1team	Haas F1 Team		Race of Champions Day 2 coming up 🇸🇪  And @SchumacherMick is battling for the Champion of Champions 🏆  #HaasF1 #ROCSweden  https://t.co/7yasP6NVB4	en	[{'screen_name': 'schumachermick', 'name': 'mick schumacher', 'id': '902951244549038081'}]	[]	['https://pbs.twimg.com/media/FK5-npBWYAQmbKw.jpg', 'https://pbs.twimg.com/media/FK5-npBWYAIakYq.jpg']	10	64	2037	['haasf1', 'rocsweden']	[]	https://twitter.com/HaasF1Team/status/1490267751981670405	False		1	https://pbs.twimg.com/media/FK5-npBWYAQmbKw.jpg							[]				
1490048430735081476	1490048430735081476	2022-02-06 01:13:24 IST	2022-02-06	01:13:24	+0530	2303406624	haasf1team	Haas F1 Team		🇩🇪 Team Germany reached the Quarter-Finals of the ROC Nations Cup today.   Tomorrow it’s all about the Champion of Champions 🏆   #HaasF1 #ROCSweden  https://t.co/6Z5oANeKwe	en	[]	[]	['https://pbs.twimg.com/media/FK23JbWX0AI86C0.jpg', 'https://pbs.twimg.com/media/FK23JbWXEAIqbrL.jpg', 'https://pbs.twimg.com/media/FK23JcLXwAUd5vj.jpg', 'https://pbs.twimg.com/media/FK23JcqXsAYU3TG.jpg']	8	74	2004	['haasf1', 'rocsweden']	[]	https://twitter.com/HaasF1Team/status/1490048430735081476	False		1	https://pbs.twimg.com/media/FK23JbWX0AI86C0.jpg							[]				
1489919569170939909	1489919566583107585	2022-02-05 16:41:21 IST	2022-02-05	16:41:21	+0530	2303406624	haasf1team	Haas F1 Team		And you can watch live here ⤵️	en	[]	[]	[]	2	10	314	[]	[]	https://twitter.com/HaasF1Team/status/1489919569170939909	False	https://twitter.com/raceofchampions/status/1489917098810015744	0								[]				
1489919566583107585	1489919566583107585	2022-02-05 16:41:20 IST	2022-02-05	16:41:20	+0530	2303406624	haasf1team	Haas F1 Team		Ready for Race of Champions? 🇸🇪  Today @SchumacherMick and Seb team up for Germany in the ROC Nations Cup.   #HaasF1 #ROCSweden  https://t.co/AIojYADajj	en	[{'screen_name': 'schumachermick', 'name': 'mick schumacher', 'id': '902951244549038081'}]	[]	['https://pbs.twimg.com/media/FK1B8mNWUAMhyXM.jpg']	20	293	9138	['haasf1', 'rocsweden']	[]	https://twitter.com/HaasF1Team/status/1489919566583107585	False		1	https://pbs.twimg.com/media/FK1B8mNWUAMhyXM.jpg							[]				
1489664380228808705	1489664380228808705	2022-02-04 23:47:19 IST	2022-02-04	23:47:19	+0530	2303406624	haasf1team	Haas F1 Team		🇩🇪 Team Germany AKA Team Smick 😄  It’s Race of Champions weekend 🇸🇪  #HaasF1 #ROCSweden  https://t.co/B8kepoqKUC	en	[]	[]	['https://pbs.twimg.com/media/FKxZ2yiX0AYDrpf.jpg']	26	215	5660	['haasf1', 'rocsweden']	[]	https://twitter.com/HaasF1Team/status/1489664380228808705	False		1	https://pbs.twimg.com/media/FKxZ2yiX0AYDrpf.jpg							[]				
1489614472557867010	1489614472557867010	2022-02-04 20:29:00 IST	2022-02-04	20:29:00	+0530	2303406624	haasf1team	Haas F1 Team		RT @SchumacherMick: My ride everyone!                  @HaasF1Team  https://t.co/vpwIBRRq8P	en	[{'screen_name': 'schumachermick', 'name': 'mick schumacher', 'id': '902951244549038081'}, {'screen_name': 'haasf1team', 'name': 'haas f1 team', 'id': '2303406624'}]	[]	['https://pbs.twimg.com/media/FKv8_lgXoA4O4YV.jpg', 'https://pbs.twimg.com/media/FKv8_ldXsAQjOBE.jpg', 'https://pbs.twimg.com/media/FKv8_lYWUAgGGrM.jpg', 'https://pbs.twimg.com/media/FKv8_lbXsAQsu-J.jpg']	0	1760	0	[]	[]	https://twitter.com/HaasF1Team/status/1489614472557867010	False		1	https://pbs.twimg.com/media/FKv8_lgXoA4O4YV.jpg							[]				
1489605858094985221	1489584531908841478	2022-02-04 19:54:46 IST	2022-02-04	19:54:46	+0530	2303406624	haasf1team	Haas F1 Team		@JotaSport @FIAWEC 💚❤️ Nice day to release a livery 😉	en	[]	[]	[]	1	1	45	[]	[]	https://twitter.com/HaasF1Team/status/1489605858094985221	False		0								[{'screen_name': 'JotaSport', 'name': 'Jota Sport', 'id': '151393774'}, {'screen_name': 'FIAWEC', 'name': 'WEC', 'id': '426488154'}]				
1489574014200782856	1489574014200782856	2022-02-04 17:48:14 IST	2022-02-04	17:48:14	+0530	2303406624	haasf1team	Haas F1 Team		"“Although it has been a challenge, I can’t stress enough how proud I am of the team we have built over the past year.""  Simone Resta, the man tasked with heading up the operation for designing the #VF22, speaks to us after today's release of our 2022 car ⤵️  #HaasF1"	en	[]	[]	[]	10	40	757	['vf22', 'haasf1']	[]	https://twitter.com/HaasF1Team/status/1489574014200782856	False		0								[]				
1489558170280280067	1489558170280280067	2022-02-04 16:45:17 IST	2022-02-04	16:45:17	+0530	2303406624	haasf1team	Haas F1 Team		"""It’s been a tremendous effort by everyone involved and now comes the fun part of getting the new car to the circuit and dialing in all the elements.""  💬 Guenther Steiner, Gene Haas and Simone Resta share their thoughts as we reveal the #VF22   #HaasF1"	en	[]	[]	[]	85	175	2750	['vf22', 'haasf1']	[]	https://twitter.com/HaasF1Team/status/1489558170280280067	False		0								[]				
1489526674198781954	1489526674198781954	2022-02-04 14:40:07 IST	2022-02-04	14:40:07	+0530	2303406624	haasf1team	Haas F1 Team		It's nearly #VF22 time ⏰  #HaasF1  https://t.co/Y0JQJN7Hn5	en	[]	[]	['https://pbs.twimg.com/media/FKvcMp2WQAI2ru8.jpg']	121	338	12129	['vf22', 'haasf1']	[]	https://twitter.com/HaasF1Team/status/1489526674198781954	False		1	https://pbs.twimg.com/media/FKvcMp2WQAI2ru8.jpg							[]				
1489301323254321156	1489301323254321156	2022-02-03 23:44:40 IST	2022-02-03	23:44:40	+0530	2303406624	haasf1team	Haas F1 Team		🇧🇷 @PiFitti will combine his Test and Reserve Driver role at #HaasF1 with the six-round @EuropeanLMS championship this year 👊  Excited for a big 2022!  https://t.co/Q3V5l2kxJY	en	[{'screen_name': 'pifitti', 'name': 'pietro fittipaldi', 'id': '156997331'}, {'screen_name': 'europeanlms', 'name': 'european le mans series', 'id': '1852617776'}]	[]	[]	32	64	1811	['haasf1']	[]	https://twitter.com/HaasF1Team/status/1489301323254321156	False		1	https://pbs.twimg.com/ext_tw_video_thumb/1489253224334774274/pu/img/IxTgZ3KsYZsBH_lw.jpg							[]				
1489270093636853763	1489270093636853763	2022-02-03 21:40:34 IST	2022-02-03	21:40:34	+0530	2303406624	haasf1team	Haas F1 Team		RT @RaceOfChampions: Wait for it.... @SchumacherMick is FLYING in the Polaris! ✈️👌  Thanks for the snow shower, mate. 🥶 #ROCSweden  @HaasF1…	en	[{'screen_name': 'raceofchampions', 'name': '#rocsweden', 'id': '28105233'}, {'screen_name': 'schumachermick', 'name': 'mick schumacher', 'id': '902951244549038081'}]	[]	[]	0	153	0	['rocsweden']	[]	https://twitter.com/HaasF1Team/status/1489270093636853763	False		0								[]				
1489237292518715400	1489237292518715400	2022-02-03 19:30:13 IST	2022-02-03	19:30:13	+0530	2303406624	haasf1team	Haas F1 Team		We don't want to keep you waiting 😉  You'll get your first look of our 2022 livery tomorrow!  #HaasF1 #FWD2022  https://t.co/KvQ41yMJkO	en	[]	[]	['https://pbs.twimg.com/media/FKrTIDYWQBk-HLp.jpg']	621	2019	26701	['haasf1', 'fwd2022']	[]	https://twitter.com/HaasF1Team/status/1489237292518715400	False		1	https://pbs.twimg.com/media/FKrTIDYWQBk-HLp.jpg							[]				
1489188143605719041	1489188143605719041	2022-02-03 16:14:55 IST	2022-02-03	16:14:55	+0530	2303406624	haasf1team	Haas F1 Team		Uralkali Haas F1 Team 🤝 Tricorp Workwear  #HaasF1  https://t.co/9ZFxXzSXAd	en	[]	[]	[]	18	29	1197	['haasf1']	[]	https://twitter.com/HaasF1Team/status/1489188143605719041	False		1	https://pbs.twimg.com/media/FKqokExWQAQ7QAX.jpg							[]				
1489176964221087747	1489176964221087747	2022-02-03 15:30:30 IST	2022-02-03	15:30:30	+0530	2303406624	haasf1team	Haas F1 Team		We're delighted to launch our partnership with @TricorpWorkwear, providing a versatile and sustainably minded kit to staff, drivers and fans.   More info here ⤵️  #HaasF1   https://t.co/mgG9EIeeGi	en	[{'screen_name': 'tricorpworkwear', 'name': 'tricorp bv', 'id': '3092907153'}]	['https://www.haasf1team.com/news/uralkali-haas-f1-team-welcomes-tricorp-workwear']	[]	13	20	479	['haasf1']	[]	https://twitter.com/HaasF1Team/status/1489176964221087747	False		0								[]				
1488877011523276801	1488877011523276801	2022-02-02 19:38:36 IST	2022-02-02	19:38:36	+0530	2303406624	haasf1team	Haas F1 Team		🗓️ It's February - that means we're back on track THIS MONTH! 🇪🇸  #HaasF1  https://t.co/BpJaRnvJQi	en	[]	[]	['https://pbs.twimg.com/media/FKmNOWRXEAk9ph7.jpg']	27	43	1873	['haasf1']	[]	https://twitter.com/HaasF1Team/status/1488877011523276801	False		1	https://pbs.twimg.com/media/FKmNOWRXEAk9ph7.jpg							[]				
1488564604934492163	1488564604934492163	2022-02-01 22:57:12 IST	2022-02-01	22:57:12	+0530	2303406624	haasf1team	Haas F1 Team		Listen to @ionos_com's #F1 new podcast ⤵️  🎧 with Guenther Steiner 👉  https://t.co/kvid3k4j1M 🎧 with Ayao Komatsu 👉  https://t.co/LJ7Lpld12V 🎧 with Pirelli's Mario Isola 👉  https://t.co/jv2MDzVAKv  #HaasF1  https://t.co/ViDFCYkCDl	en	[{'screen_name': 'ionos_com', 'name': 'ionos', 'id': '43218848'}]	['https://bit.ly/3FpuIKH', 'https://bit.ly/34qfmsu', 'https://bit.ly/341Mo2w']	['https://pbs.twimg.com/media/FKhxlr0XoAABFpt.jpg']	3	12	233	['f1', 'haasf1']	[]	https://twitter.com/HaasF1Team/status/1488564604934492163	False		1	https://pbs.twimg.com/media/FKhxlr0XoAABFpt.jpg							[]				
1488499157874659333	1488499157874659333	2022-02-01 18:37:08 IST	2022-02-01	18:37:08	+0530	2303406624	haasf1team	Haas F1 Team		4⃣7⃣ days until lights out in Bahrain 😉  #HaasF1  https://t.co/lxfA7qgGbd	en	[]	[]	['https://pbs.twimg.com/media/FKg17EDX0AMua88.jpg']	18	109	3591	['haasf1']	[]	https://twitter.com/HaasF1Team/status/1488499157874659333	False		1	https://pbs.twimg.com/media/FKg17EDX0AMua88.jpg							[]				
1488170956602421251	1488170956602421251	2022-01-31 20:52:59 IST	2022-01-31	20:52:59	+0530	2303406624	haasf1team	Haas F1 Team		Table for three!   #HaasF1  https://t.co/jSRJhXsXUw	en	[]	[]	['https://pbs.twimg.com/media/FKcLaCwX0AIGTWd.jpg']	36	71	3419	['haasf1']	[]	https://twitter.com/HaasF1Team/status/1488170956602421251	False		1	https://pbs.twimg.com/media/FKcLaCwX0AIGTWd.jpg							[]				
1487832835763453952	1487832835763453952	2022-01-30 22:29:25 IST	2022-01-30	22:29:25	+0530	2303406624	haasf1team	Haas F1 Team		49 days since the flag in 🇦🇪  49 days until lights out in 🇧🇭  We’re half-way there!   #HaasF1  https://t.co/wlpfCQYV0E	en	[]	[]	['https://pbs.twimg.com/media/FKXYEwXWQAA7Uaw.jpg', 'https://pbs.twimg.com/media/FKXYEytXoAEyVmc.jpg']	58	284	5740	['haasf1']	[]	https://twitter.com/HaasF1Team/status/1487832835763453952	False		1	https://pbs.twimg.com/media/FKXYEwXWQAA7Uaw.jpg							[]				
1487434681591160836	1487434681591160836	2022-01-29 20:07:17 IST	2022-01-29	20:07:17	+0530	2303406624	haasf1team	Haas F1 Team		Next weekend, Mick and Seb will team up at the @RaceOfChampions in Sweden 🇸🇪  https://t.co/Pw3E2vTEZ5	en	[{'screen_name': 'raceofchampions', 'name': '#rocsweden', 'id': '28105233'}]	[]	['https://pbs.twimg.com/media/FKRt9TtXwAEU48H.jpg']	53	396	8472	[]	[]	https://twitter.com/HaasF1Team/status/1487434681591160836	False		1	https://pbs.twimg.com/media/FKRt9TtXwAEU48H.jpg							[]				
1487081580246011909	1487081580246011909	2022-01-28 20:44:12 IST	2022-01-28	20:44:12	+0530	2303406624	haasf1team	Haas F1 Team		Happy birthday @pirellisport 🎉  In the business for 150 years! Here’s to many more 🍩  #HaasF1  https://t.co/3Euo65aIQn	en	[{'screen_name': 'pirellisport', 'name': 'pirelli motorsport', 'id': '1114036494'}]	[]	['https://pbs.twimg.com/media/FKMs0A8WYAEGCat.jpg']	7	47	1392	['haasf1']	[]	https://twitter.com/HaasF1Team/status/1487081580246011909	False		1	https://pbs.twimg.com/media/FKMs0A8WYAEGCat.jpg							[]				
1486760424691359750	1486760422258655232	2022-01-27 23:28:02 IST	2022-01-27	23:28:02	+0530	2303406624	haasf1team	Haas F1 Team		Which has been your favorite so far?	en	[]	[]	[]	100	5	429	[]	[]	https://twitter.com/HaasF1Team/status/1486760424691359750	False		0								[]				
