id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1490417581332774917	1490417581332774917	2022-02-07 01:40:16 IST	2022-02-07	01:40:16	+0530	4201552600	lance_stroll	Lance Stroll		Back to HQ!  https://t.co/EQjlKA6bi7	en	[]	[]	[]	66	145	4153	[]	[]	https://twitter.com/lance_stroll/status/1490417581332774917	False		1	https://pbs.twimg.com/ext_tw_video_thumb/1490417517449388037/pu/img/dhzssr7sBWlXvP4t.jpg							[]				
1481446535921483776	1481446535921483776	2022-01-13 07:32:32 IST	2022-01-13	07:32:32	+0530	4201552600	lance_stroll	Lance Stroll		First hole in 1! LFG  https://t.co/iDNSIfP6oD	en	[]	[]	[]	98	115	3499	[]	[]	https://twitter.com/lance_stroll/status/1481446535921483776	False		1	https://pbs.twimg.com/ext_tw_video_thumb/1481446495408713738/pu/img/uV4SAOSkYlaBrJZs.jpg							[]				
1469331492270661638	1469331492270661638	2021-12-10 21:11:41 IST	2021-12-10	21:11:41	+0530	4201552600	lance_stroll	Lance Stroll		1️⃣0️⃣0️⃣  https://t.co/Wqirg783ZG	und	[]	[]	['https://pbs.twimg.com/media/FGQdMfSXoAc1-LW.jpg']	72	235	6232	[]	[]	https://twitter.com/lance_stroll/status/1469331492270661638	False		1	https://pbs.twimg.com/media/FGQdMfSXoAc1-LW.jpg							[]				
1468648027162353665	1468648027162353665	2021-12-08 23:55:50 IST	2021-12-08	23:55:50	+0530	4201552600	lance_stroll	Lance Stroll		Shoutout to everyone that’s been riding with me 💯	en	[]	[]	[]	86	101	2956	[]	[]	https://twitter.com/lance_stroll/status/1468648027162353665	False	https://twitter.com/AstonMartinF1/status/1468645874955960329	0								[]				
1465055415620747281	1465055415620747281	2021-11-29 02:00:05 IST	2021-11-29	02:00:05	+0530	4201552600	lance_stroll	Lance Stroll		Sir Frank was a remarkable man both on and off the track.  It was an honour to have met and worked with Frank and his Williams Family.  RIP Frank	en	[]	[]	[]	24	288	9718	[]	[]	https://twitter.com/lance_stroll/status/1465055415620747281	False		0								[]				
1462786635670728706	1462786635670728706	2021-11-22 19:44:45 IST	2021-11-22	19:44:45	+0530	4201552600	lance_stroll	Lance Stroll		A tremendous effort by the team in Qatar! P12 -&gt; P6  Taking some great momentum to Saudi @AstonMartinF1	en	[{'screen_name': 'astonmartinf1', 'name': 'aston martin aramco cognizant f1 team', 'id': '16143542'}]	[]	[]	86	85	3891	[]	[]	https://twitter.com/lance_stroll/status/1462786635670728706	False		0								[]				
1462105752290615296	1462105752290615296	2021-11-20 22:39:10 IST	2021-11-20	22:39:10	+0530	4201552600	lance_stroll	Lance Stroll		Let’s get after it tomorrow 👊🏻   @AstonMartinF1  https://t.co/Ab9wDbsj1l	en	[{'screen_name': 'astonmartinf1', 'name': 'aston martin aramco cognizant f1 team', 'id': '16143542'}]	[]	[]	56	72	1384	[]	[]	https://twitter.com/lance_stroll/status/1462105752290615296	False		1	https://pbs.twimg.com/ext_tw_video_thumb/1462105663665053704/pu/img/NaqFAPxcQMhsfwfW.jpg							[]				
1459895278169952257	1459895278169952257	2021-11-14 20:15:32 IST	2021-11-14	20:15:32	+0530	4201552600	lance_stroll	Lance Stroll		It’s race day 🤜🏻🤛🏻  https://t.co/upgt3n8viu	en	[]	[]	['https://pbs.twimg.com/media/FEKXAa-XMAs2wDl.jpg']	84	131	4792	[]	[]	https://twitter.com/lance_stroll/status/1459895278169952257	False		1	https://pbs.twimg.com/media/FEKXAa-XMAs2wDl.jpg							[]				
1457856108534669319	1457856108534669319	2021-11-09 05:12:36 IST	2021-11-09	05:12:36	+0530	4201552600	lance_stroll	Lance Stroll		🔜 🇧🇷	und	[]	[]	[]	348	392	10287	[]	[]	https://twitter.com/lance_stroll/status/1457856108534669319	False		0								[]				
1457854584798523401	1457854584798523401	2021-11-09 05:06:33 IST	2021-11-09	05:06:33	+0530	4201552600	lance_stroll	Lance Stroll		*waves goodbye to Mexico*   Mexico:  https://t.co/doUuMFsfRK	en	[]	[]	['https://pbs.twimg.com/tweet_video_thumb/FDtXAoVX0AUpIIU.jpg']	92	290	9443	[]	[]	https://twitter.com/lance_stroll/status/1457854584798523401	False		1	https://pbs.twimg.com/tweet_video_thumb/FDtXAoVX0AUpIIU.jpg							[]				
1457149696519155720	1457149696519155720	2021-11-07 06:25:34 IST	2021-11-07	06:25:34	+0530	4201552600	lance_stroll	Lance Stroll		Starting from the back. Let’s see what we can do 👊🏻	en	[]	[]	[]	67	65	3384	[]	[]	https://twitter.com/lance_stroll/status/1457149696519155720	False		0								[]				
1457149596241649666	1457149596241649666	2021-11-07 06:25:10 IST	2021-11-07	06:25:10	+0530	4201552600	lance_stroll	Lance Stroll		Thank you for the messages, I’m feeling good and have my focus on tomorrow.	en	[]	[]	[]	167	189	10594	[]	[]	https://twitter.com/lance_stroll/status/1457149596241649666	False		0								[]				
1456785599898263566	1456785599898263566	2021-11-06 06:18:47 IST	2021-11-06	06:18:47	+0530	4201552600	lance_stroll	Lance Stroll		Mexico! It feels good to be back	en	[]	[]	[]	96	138	7307	[]	[]	https://twitter.com/lance_stroll/status/1456785599898263566	False		0								[]				
1453762109611839493	1453762109611839493	2021-10-28 22:04:31 IST	2021-10-28	22:04:31	+0530	4201552600	lance_stroll	Lance Stroll		Austin wasn’t our weekend this time round but it was great to be back at the infamous @COTA  Awesome to have the fans out in force. The energy was real!	en	[{'screen_name': 'cota', 'name': 'circuit of the americas', 'id': '170863272'}]	[]	[]	41	36	1913	[]	[]	https://twitter.com/lance_stroll/status/1453762109611839493	False		0								[]				
1451575031079837697	1451574821276557314	2021-10-22 21:13:51 IST	2021-10-22	21:13:51	+0530	4201552600	lance_stroll	Lance Stroll		@markantardesign you nailed the design !	en	[]	[]	[]	8	2	222	[]	[]	https://twitter.com/lance_stroll/status/1451575031079837697	False		0								[]				
1451574821276557314	1451574821276557314	2021-10-22 21:13:01 IST	2021-10-22	21:13:01	+0530	4201552600	lance_stroll	Lance Stroll		Check out my lid for this weekend 👽 🪐   Thank you to all the fans who voted on the  @SociosMS app!  https://t.co/wmqqjskr4T	en	[{'screen_name': 'sociosms', 'name': 'sociosmotorsport', 'id': '1392744561282326531'}]	[]	[]	67	136	2047	[]	[]	https://twitter.com/lance_stroll/status/1451574821276557314	False		1	https://pbs.twimg.com/ext_tw_video_thumb/1451574708575559681/pu/img/h5Yv4fD-U8gYP9bg.jpg							[]				
1447885732853465088	1447885732853465088	2021-10-12 16:53:53 IST	2021-10-12	16:53:53	+0530	4201552600	lance_stroll	Lance Stroll		A huge thank you to everyone on track and back at base in Silverstone for the relentless hard work this season!	en	[]	[]	[]	86	109	7333	[]	[]	https://twitter.com/lance_stroll/status/1447885732853465088	False		0								[]				
