id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1490463324630405120	1490460909013241861	2022-02-07 04:42:02 IST	2022-02-07	04:42:02	+0530	516464106	landonorris	Lando Norris		@ZBrownCEO @autosport Thanx Zak	nl	[]	[]	[]	37	78	4432	[]	[]	https://twitter.com/LandoNorris/status/1490463324630405120	False		0								[{'screen_name': 'ZBrownCEO', 'name': 'Zak Brown', 'id': '2873763009'}, {'screen_name': 'autosport', 'name': 'Autosport', 'id': '20517081'}]				
1490454227294031877	1490454227294031877	2022-02-07 04:05:53 IST	2022-02-07	04:05:53	+0530	516464106	landonorris	Lando Norris		 https://t.co/bU93PuPDoS	und	[]	[]	[]	257	815	12290	[]	[]	https://twitter.com/LandoNorris/status/1490454227294031877	False	https://twitter.com/autosport/status/1490453027047804928	1	https://pbs.twimg.com/ext_tw_video_thumb/1490453114654187532/pu/img/tQJQ3rZo4JurvXD9.jpg							[]				
1489651454323351558	1489599689972461570	2022-02-04 22:55:57 IST	2022-02-04	22:55:57	+0530	516464106	landonorris	Lando Norris		@McLarenF1 It’s an art project	en	[]	[]	[]	228	240	11716	[]	[]	https://twitter.com/LandoNorris/status/1489651454323351558	False		0								[{'screen_name': 'McLarenF1', 'name': 'McLaren', 'id': '24871896'}]				
1488902175006859267	1488902175006859267	2022-02-02 21:18:35 IST	2022-02-02	21:18:35	+0530	516464106	landonorris	Lando Norris		RT @McLarenF1: LN4. DR3. 👊   2022 loading... ⏳  https://t.co/CRvVuggAPl	en	[{'screen_name': 'mclarenf1', 'name': 'mclaren', 'id': '24871896'}]	[]	['https://pbs.twimg.com/media/FKmO8JxWYAwT3hr.jpg']	0	821	0	[]	[]	https://twitter.com/LandoNorris/status/1488902175006859267	False		1	https://pbs.twimg.com/media/FKmO8JxWYAwT3hr.jpg							[]				
1488860332781191170	1488860332781191170	2022-02-02 18:32:19 IST	2022-02-02	18:32:19	+0530	516464106	landonorris	Lando Norris		It’s good to be back @McLarenF1  https://t.co/w1hRTLrPAh	en	[{'screen_name': 'mclarenf1', 'name': 'mclaren', 'id': '24871896'}]	[]	['https://pbs.twimg.com/media/FKl-kWsXMAYJ-yA.jpg']	330	1470	54912	[]	[]	https://twitter.com/LandoNorris/status/1488860332781191170	False		1	https://pbs.twimg.com/media/FKl-kWsXMAYJ-yA.jpg							[]				
1487802439419969540	1487802439419969540	2022-01-30 20:28:38 IST	2022-01-30	20:28:38	+0530	516464106	landonorris	Lando Norris		Big junior final about to start with LN Kart starting p2, p3, p6 ✊  https://t.co/X1pdfs3oud  https://t.co/S2xpU8C7xw	en	[]	['http://www.wskarting.it/live_streaming.asp?s=WSK_superMaster']	['https://pbs.twimg.com/media/FKW8bSSXwAIbYQN.jpg']	55	128	5627	[]	[]	https://twitter.com/LandoNorris/status/1487802439419969540	False		1	https://pbs.twimg.com/media/FKW8bSSXwAIbYQN.jpg							[]				
1487790847999496204	1487790847999496204	2022-01-30 19:42:34 IST	2022-01-30	19:42:34	+0530	516464106	landonorris	Lando Norris		gg @RafaelNadal 🔥	und	[{'screen_name': 'rafaelnadal', 'name': 'rafa nadal', 'id': '344634424'}]	[]	[]	218	2228	53445	[]	[]	https://twitter.com/LandoNorris/status/1487790847999496204	False		0								[]				
1487787220362792962	1487787220362792962	2022-01-30 19:28:09 IST	2022-01-30	19:28:09	+0530	516464106	landonorris	Lando Norris		RT @27FreddieSlater: One Day.... 😇🎉🏆  @LandoNorris @LNRacingKart  https://t.co/tNBMTVg0Hf	en	[{'screen_name': '27freddieslater', 'name': 'freddie slater', 'id': '1326459720127930368'}, {'screen_name': 'landonorris', 'name': 'lando norris', 'id': '516464106'}, {'screen_name': 'lnracingkart', 'name': 'ln racing kart', 'id': '1437333338902212611'}]	[]	['https://pbs.twimg.com/media/FAieFvTVQAwqHQu.jpg']	0	47	0	[]	[]	https://twitter.com/LandoNorris/status/1487787220362792962	False		1	https://pbs.twimg.com/media/FAieFvTVQAwqHQu.jpg							[]				
1487781530978205698	1487779178636361729	2022-01-30 19:05:33 IST	2022-01-30	19:05:33	+0530	516464106	landonorris	Lando Norris		P2! @27FreddieSlater	und	[{'screen_name': '27freddieslater', 'name': 'freddie slater', 'id': '1326459720127930368'}]	[]	[]	14	27	2249	[]	[]	https://twitter.com/LandoNorris/status/1487781530978205698	False		0								[]				
1487779178636361729	1487779178636361729	2022-01-30 18:56:12 IST	2022-01-30	18:56:12	+0530	516464106	landonorris	Lando Norris		LN Kart is just about to start P3 in the Final  https://t.co/X1pdfs3oud	en	[]	['http://www.wskarting.it/live_streaming.asp?s=WSK_superMaster']	[]	53	120	5885	[]	[]	https://twitter.com/LandoNorris/status/1487779178636361729	False		0								[]				
