id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1487118049899601924	1487118049899601924	2022-01-28 23:09:07 IST	2022-01-28	23:09:07	+0530	490756890	oconesteban	Esteban Ocon		Can I take one home @alpinecars ? 😋  https://t.co/Sbr0lv4YXz	en	[{'screen_name': 'alpinecars', 'name': 'alpine cars', 'id': '2425256936'}]	[]	['https://pbs.twimg.com/media/FKNN-3SWYAMYeQt.jpg']	120	192	9722	[]	[]	https://twitter.com/OconEsteban/status/1487118049899601924	False		1	https://pbs.twimg.com/media/FKNN-3SWYAMYeQt.jpg							[]				
1486333501607751686	1486333501607751686	2022-01-26 19:11:36 IST	2022-01-26	19:11:36	+0530	490756890	oconesteban	Esteban Ocon		RT @AlpineF1Team: Something's coming... We're edging closer to the new era of #Alpine innovation.  Save the Date 🗓️  21.02.22  #A522 @alpin…	en	[{'screen_name': 'alpinef1team', 'name': 'alpine f1 team', 'id': '28297965'}]	[]	[]	0	921	0	['alpine', 'a522']	[]	https://twitter.com/OconEsteban/status/1486333501607751686	False		0								[]				
1484519500867411972	1484519500867411972	2022-01-21 19:03:24 IST	2022-01-21	19:03:24	+0530	490756890	oconesteban	Esteban Ocon		RT @AlpineF1Team: ATTENTION: This 𝙞𝙨 the sound of our fire-up 💥  Heralding a new era of #Alpine innovation and progress. Pushing the bounda…	en	[{'screen_name': 'alpinef1team', 'name': 'alpine f1 team', 'id': '28297965'}]	[]	[]	0	967	0	['alpine']	[]	https://twitter.com/OconEsteban/status/1484519500867411972	False		0								[]				
1477685659259346945	1477685659259346945	2022-01-02 22:28:09 IST	2022-01-02	22:28:09	+0530	490756890	oconesteban	Esteban Ocon		Après avoir lu quelques tweets, je voudrais clarifier que j’étais au volant de l’A110 Gendarmerie pour un shooting promotionnel organisé par Alpine.    https://t.co/YIMCGdTx3o	fr	[]	['https://youtu.be/bTUvY4RDjTM']	[]	240	282	4938	[]	[]	https://twitter.com/OconEsteban/status/1477685659259346945	False		0								[]				
1477685203464249349	1477685203464249349	2022-01-02 22:26:21 IST	2022-01-02	22:26:21	+0530	490756890	oconesteban	Esteban Ocon		After reading some tweets, i want to clarify that I was at the wheel of the A110 Gendarmerie for a promotional shooting organised by Alpine.    https://t.co/YIMCGdTx3o	en	[]	['https://youtu.be/bTUvY4RDjTM']	[]	57	73	2168	[]	[]	https://twitter.com/OconEsteban/status/1477685203464249349	False		0								[]				
1477294204745355270	1477294204745355270	2022-01-01 20:32:39 IST	2022-01-01	20:32:39	+0530	490756890	oconesteban	Esteban Ocon		They gave me the title of chief driving officer 🚨 👮‍♂️ Starting the year right @Gendarmerie enjoy ! Happy 2022 everyone ! #EO31 @alpinecars  https://t.co/jwMPxHZQ8r	en	[{'screen_name': 'gendarmerie', 'name': 'gendarmerie nationale', 'id': '2184489764'}, {'screen_name': 'alpinecars', 'name': 'alpine cars', 'id': '2425256936'}]	[]	[]	396	1528	14319	['eo31']	[]	https://twitter.com/OconEsteban/status/1477294204745355270	False		1	https://pbs.twimg.com/ext_tw_video_thumb/1477294114181951492/pu/img/ew7347CxJu0hzUhB.jpg							[]				
1476524224252727297	1476524224252727297	2021-12-30 17:33:02 IST	2021-12-30	17:33:02	+0530	490756890	oconesteban	Esteban Ocon		2021 ✔️  https://t.co/bnuMV9E1nR	und	[]	[]	['https://pbs.twimg.com/media/FH2q9KyXEAEFGGl.jpg']	123	407	16622	[]	[]	https://twitter.com/OconEsteban/status/1476524224252727297	False		1	https://pbs.twimg.com/media/FH2q9KyXEAEFGGl.jpg							[]				
1474469308390686723	1474469308390686723	2021-12-25 01:27:32 IST	2021-12-25	01:27:32	+0530	490756890	oconesteban	Esteban Ocon		Merry Christmas everyone !🌲🎅 #EO31  https://t.co/qAogyeJB60	en	[]	[]	['https://pbs.twimg.com/media/FHZeBCqWUAAKAL7.jpg']	335	630	31969	['eo31']	[]	https://twitter.com/OconEsteban/status/1474469308390686723	False		1	https://pbs.twimg.com/media/FHZeBCqWUAAKAL7.jpg							[]				
1471946028903510029	1471946028903510029	2021-12-18 02:20:55 IST	2021-12-18	02:20:55	+0530	490756890	oconesteban	Esteban Ocon		RT @F1: French motorsport royalty! 🤩🇫🇷  @OconEsteban joined 2021 @MotoGP World Champion @FabioQ20, and 2021 @OfficialWRC World Champions @S…	en	[{'screen_name': 'f1', 'name': 'formula 1', 'id': '69008563'}, {'screen_name': 'oconesteban', 'name': 'esteban ocon', 'id': '490756890'}, {'screen_name': 'motogp', 'name': 'motogp™🏁', 'id': '14082692'}, {'screen_name': 'fabioq20', 'name': 'fabio quartararo', 'id': '1581230341'}, {'screen_name': 'officialwrc', 'name': 'wrc - fia world rally championship', 'id': '17781576'}]	[]	[]	0	466	0	[]	[]	https://twitter.com/OconEsteban/status/1471946028903510029	False		0								[]				
1470816647485304842	1470816647485304842	2021-12-14 23:33:09 IST	2021-12-14	23:33:09	+0530	490756890	oconesteban	Esteban Ocon		128 laps and a big step into 2022, bittersweet day as it was the last one on track this year but we will be back 🔜🤙🏻😎 #EO31  https://t.co/4KFUHXv2cb	en	[]	[]	['https://pbs.twimg.com/media/FGlj8A2WUAcBjZD.jpg']	56	123	5142	['eo31']	[]	https://twitter.com/OconEsteban/status/1470816647485304842	False		1	https://pbs.twimg.com/media/FGlj8A2WUAcBjZD.jpg							[]				
1469720746477948934	1469720746477948934	2021-12-11 22:58:26 IST	2021-12-11	22:58:26	+0530	490756890	oconesteban	Esteban Ocon		Top 10 once again today, spicy race tomorrow let’s gooo 🔥😋! #EO31 #Seasonfinale  https://t.co/qDkyiCajJm	en	[]	[]	['https://pbs.twimg.com/media/FGV_OV-XwAYlBNd.jpg']	18	55	1446	['eo31', 'seasonfinale']	[]	https://twitter.com/OconEsteban/status/1469720746477948934	False		1	https://pbs.twimg.com/media/FGV_OV-XwAYlBNd.jpg							[]				
