id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1489534186331463681	1489534186331463681	2022-02-04 15:09:58 IST	2022-02-04	15:09:58	+0530	537951506	pierregasly	PIERRE GASLY 🇫🇷		And the @HawkersCo winner is……@lecgasly 🎉  Thanks everyone for entering hopefully can do some more of these soon	en	[{'screen_name': 'hawkersco', 'name': 'hawkers co.', 'id': '1657920626'}, {'screen_name': 'lecgasly', 'name': 'keela 🍊', 'id': '919932377404645376'}]	[]	[]	17	43	1201	[]	[]	https://twitter.com/PierreGASLY/status/1489534186331463681	False	https://twitter.com/pierregasly/status/1486760966952001539	0								[]				
1487793381292060673	1487793381292060673	2022-01-30 19:52:38 IST	2022-01-30	19:52:38	+0530	537951506	pierregasly	PIERRE GASLY 🇫🇷		RAFA - UN GENIO 👏🏼 @RafaelNadal	es	[{'screen_name': 'rafaelnadal', 'name': 'rafa nadal', 'id': '344634424'}]	[]	[]	186	1204	25208	[]	[]	https://twitter.com/PierreGASLY/status/1487793381292060673	False		0								[]				
1487107627423342598	1487107627423342598	2022-01-28 22:27:42 IST	2022-01-28	22:27:42	+0530	537951506	pierregasly	PIERRE GASLY 🇫🇷		RT @F1: A first look at the all-new Miami International Autodrome for @PierreGASLY 👌🇺🇸  And you can check out his visit here 👀⬇️  #F1   htt…	en	[{'screen_name': 'f1', 'name': 'formula 1', 'id': '69008563'}, {'screen_name': 'pierregasly', 'name': 'pierre gasly 🇫🇷', 'id': '537951506'}]	[]	[]	0	152	0	['f1']	[]	https://twitter.com/PierreGASLY/status/1487107627423342598	False		0								[]				
1486760966952001539	1486760966952001539	2022-01-27 23:30:11 IST	2022-01-27	23:30:11	+0530	537951506	pierregasly	PIERRE GASLY 🇫🇷		Feeling lucky? 😉   My friends at Hawkers have given me a full set of my #PierreGaslyxHawkers collection to one lucky follower 😎  For a chance to win simply follow @HawkersCo &amp; me and RT this tweet.   Competition ends 3rd Feb. Good luck!!  https://t.co/68TDoTzpGr	en	[{'screen_name': 'hawkersco', 'name': 'hawkers co.', 'id': '1657920626'}]	[]	['https://pbs.twimg.com/media/FKIJNvrXsAULA6X.jpg']	144	2114	3029	['pierregaslyxhawkers']	[]	https://twitter.com/PierreGASLY/status/1486760966952001539	False		1	https://pbs.twimg.com/media/FKIJNvrXsAULA6X.jpg							[]				
1486600958863986690	1486600958863986690	2022-01-27 12:54:22 IST	2022-01-27	12:54:22	+0530	537951506	pierregasly	PIERRE GASLY 🇫🇷		We are back to business @AlphaTauriF1  https://t.co/0i9xaccUR1	en	[{'screen_name': 'alphataurif1', 'name': 'scuderia alphatauri', 'id': '82322622'}]	[]	[]	113	926	22064	[]	[]	https://twitter.com/PierreGASLY/status/1486600958863986690	False		1	https://pbs.twimg.com/ext_tw_video_thumb/1486600910855888896/pu/img/SMd6_Bvt3abu5iJ0.jpg							[]				
1485393813258575874	1485393813258575874	2022-01-24 04:57:37 IST	2022-01-24	04:57:37	+0530	537951506	pierregasly	PIERRE GASLY 🇫🇷		WHAT WAS THAT!? 🤯🤯🤯 What a game! #NFL #LARvsTB	en	[]	[]	[]	188	460	14765	['nfl', 'larvstb']	[]	https://twitter.com/PierreGASLY/status/1485393813258575874	False		0								[]				
1484595468483141638	1484595468483141638	2022-01-22 00:05:16 IST	2022-01-22	00:05:16	+0530	537951506	pierregasly	PIERRE GASLY 🇫🇷		PRE SEASON WORK ⏳⚔️🛡  https://t.co/9L4eJVgjZ3	en	[]	[]	['https://pbs.twimg.com/media/FJpXs4QXMAYePIQ.jpg']	239	769	30185	[]	[]	https://twitter.com/PierreGASLY/status/1484595468483141638	False		1	https://pbs.twimg.com/media/FJpXs4QXMAYePIQ.jpg							[]				
1484244640484184067	1484244640484184067	2022-01-21 00:51:12 IST	2022-01-21	00:51:12	+0530	537951506	pierregasly	PIERRE GASLY 🇫🇷		Quick stop in Miami.🇺🇸  Went to have a look at the new track, and it looks really awesome!! Racing is going to be amazing there, no doubt about it. Can’t wait for May!! @f1miami @HardRockStadium @MiamiDolphins  https://t.co/2KJ4f4hJF4	en	[{'screen_name': 'f1miami', 'name': 'f1 miami grand prix', 'id': '1179020506244222978'}, {'screen_name': 'hardrockstadium', 'name': 'hard rock stadium', 'id': '753686544456773632'}, {'screen_name': 'miamidolphins', 'name': 'miami dolphins', 'id': '19853312'}]	[]	['https://pbs.twimg.com/media/FJkYoEFWQAImEkP.jpg', 'https://pbs.twimg.com/media/FJkYoEIXEAsb-5e.jpg', 'https://pbs.twimg.com/media/FJkYoEJXMAcRhFj.jpg', 'https://pbs.twimg.com/media/FJkYoEDWQAUIg8Z.jpg']	80	358	7958	[]	[]	https://twitter.com/PierreGASLY/status/1484244640484184067	False		1	https://pbs.twimg.com/media/FJkYoEFWQAImEkP.jpg							[]				
1484244387085307907	1484244387085307907	2022-01-21 00:50:12 IST	2022-01-21	00:50:12	+0530	537951506	pierregasly	PIERRE GASLY 🇫🇷		Miami GP is going to be awesome	en	[]	[]	[]	529	1263	44727	[]	[]	https://twitter.com/PierreGASLY/status/1484244387085307907	False		0								[]				
1480983272494493696	1480983272494493696	2022-01-12 00:51:42 IST	2022-01-12	00:51:42	+0530	537951506	pierregasly	PIERRE GASLY 🇫🇷		First week completed ✔️  https://t.co/xQF44WNQJD	en	[]	[]	['https://pbs.twimg.com/media/FI2CbVRUUAMhF5c.jpg']	186	367	16505	[]	[]	https://twitter.com/PierreGASLY/status/1480983272494493696	False		1	https://pbs.twimg.com/media/FI2CbVRUUAMhF5c.jpg							[]				
