id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1490729143775989763	1490726164490506247	2022-02-07 22:18:18 IST	2022-02-07	22:18:18	+0530	226087776	redbullracing	Red Bull Racing		@redbull 📲⌨️🏁	und	[]	[]	[]	4	5	107	[]	[]	https://twitter.com/redbullracing/status/1490729143775989763	False		0								[{'screen_name': 'redbull', 'name': 'Red Bull', 'id': '17540485'}]				
1490721019371343874	1490717237690261505	2022-02-07 21:46:01 IST	2022-02-07	21:46:01	+0530	226087776	redbullracing	Red Bull Racing		@mangelhh1960 Can launch day just, you know, hurry up?	en	[]	[]	[]	1	1	15	[]	[]	https://twitter.com/redbullracing/status/1490721019371343874	False		0								[{'screen_name': 'mangelhh1960', 'name': 'SARCÁSTICO', 'id': '955867000781369345'}]				
1490720914660601865	1490717237690261505	2022-02-07 21:45:36 IST	2022-02-07	21:45:36	+0530	226087776	redbullracing	Red Bull Racing		@DarthSatyr  https://t.co/S6NqqzcsoV	und	[]	[]	['https://pbs.twimg.com/tweet_video_thumb/FLAaw8uXEAcB5fs.jpg']	0	0	14	[]	[]	https://twitter.com/redbullracing/status/1490720914660601865	False		1	https://pbs.twimg.com/tweet_video_thumb/FLAaw8uXEAcB5fs.jpg							[]				
1490720709257089026	1490717237690261505	2022-02-07 21:44:47 IST	2022-02-07	21:44:47	+0530	226087776	redbullracing	Red Bull Racing		@iVerschan If you’re able to work out how to skip time can you let us know?	en	[]	[]	[]	6	1	35	[]	[]	https://twitter.com/redbullracing/status/1490720709257089026	False		0								[{'screen_name': 'iVerschan', 'name': '𝖢𝗁𝑎𝑛𝒹𝓊', 'id': '1002212955407056896'}]				
1490720480696930310	1490717237690261505	2022-02-07 21:43:53 IST	2022-02-07	21:43:53	+0530	226087776	redbullracing	Red Bull Racing		@Semmieee What’s the hold up, Wednesday? 😅  https://t.co/8kJehmsPFA	en	[]	[]	['https://pbs.twimg.com/tweet_video_thumb/FLAaXpUXEAMa7AT.jpg']	4	4	72	[]	[]	https://twitter.com/redbullracing/status/1490720480696930310	False		1	https://pbs.twimg.com/tweet_video_thumb/FLAaXpUXEAMa7AT.jpg							[{'screen_name': 'Semmieee', 'name': 'Sem¹ | MAX WORLD CHAMPION 2021🦁', 'id': '1286296393540395009'}]				
1490720260701499407	1490717237690261505	2022-02-07 21:43:01 IST	2022-02-07	21:43:01	+0530	226087776	redbullracing	Red Bull Racing		@HSmith_HS Let’s get the #RB18 out everywhere! 🙌	en	[]	[]	[]	3	1	13	['rb18']	[]	https://twitter.com/redbullracing/status/1490720260701499407	False		0								[{'screen_name': 'HSmith_HS', 'name': 'HarrySmith', 'id': '1260884456002531331'}]				
1490720169445965824	1490717237690261505	2022-02-07 21:42:39 IST	2022-02-07	21:42:39	+0530	226087776	redbullracing	Red Bull Racing		@checciardo Couldn’t wait until Wednesday so thought we’d start counting down now 😄	en	[]	[]	[]	2	1	98	[]	[]	https://twitter.com/redbullracing/status/1490720169445965824	False		0								[{'screen_name': 'checciardo', 'name': 'Charley☀️Checoposting☀️', 'id': '1328977886645202944'}]				
1490717153808588812	1490665636464316424	2022-02-07 21:30:40 IST	2022-02-07	21:30:40	+0530	226087776	redbullracing	Red Bull Racing		@Shakytucker You’ve got us caught there 😳  https://t.co/59GeNUiDBK	en	[]	[]	['https://pbs.twimg.com/tweet_video_thumb/FLAXWH8WYAEOCMa.jpg']	7	8	596	[]	[]	https://twitter.com/redbullracing/status/1490717153808588812	False		1	https://pbs.twimg.com/tweet_video_thumb/FLAXWH8WYAEOCMa.jpg							[{'screen_name': 'Shakytucker', 'name': 'Northern GOONER #KroenkeOut #Artetaout', 'id': '51885246'}]				
1490716702845321217	1490665636464316424	2022-02-07 21:28:52 IST	2022-02-07	21:28:52	+0530	226087776	redbullracing	Red Bull Racing		@Semmieee We can’t think of anything else going on this week 😅😉	en	[]	[]	[]	3	1	94	[]	[]	https://twitter.com/redbullracing/status/1490716702845321217	False		0								[{'screen_name': 'Semmieee', 'name': 'Sem¹ | MAX WORLD CHAMPION 2021🦁', 'id': '1286296393540395009'}]				
1490716555105210369	1490665636464316424	2022-02-07 21:28:17 IST	2022-02-07	21:28:17	+0530	226087776	redbullracing	Red Bull Racing		@Jacranda32 🤍 A special one	en	[]	[]	[]	1	0	10	[]	[]	https://twitter.com/redbullracing/status/1490716555105210369	False		0								[{'screen_name': 'Jacranda32', 'name': 'Jac’randa 🏁', 'id': '962792736138153985'}]				
