id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1491026388002000896	1491026388002000896	2022-02-08 17:59:27 IST	2022-02-08	17:59:27	+0530	108247668	scuderiaferrari	Scuderia Ferrari		We are pleased to announce a new and exciting partnership with @Qualcomm, as from today, the San Diego, California-based company, will be our Premium Partner through @Snapdragon. ➡️  https://t.co/aCxJF59I8R  We can’t wait to welcome your logo on the F1-75!  #essereFerrari  🔴  https://t.co/6PnX67TSVv	en	[{'screen_name': 'qualcomm', 'name': 'qualcomm', 'id': '84623395'}, {'screen_name': 'snapdragon', 'name': 'snapdragon', 'id': '18238788'}]	['https://corporate.ferrari.com/en/ferrari-and-qualcomm-strategic-technology-partnership-aimed-future']	[]	23	65	679	['essereferrari']	[]	https://twitter.com/ScuderiaFerrari/status/1491026388002000896	False		1	https://pbs.twimg.com/media/FLEp5GfWYAYwUIO.jpg							[]				
1490975701801275392	1490975669685473281	2022-02-08 14:38:02 IST	2022-02-08	14:38:02	+0530	108247668	scuderiaferrari	Scuderia Ferrari		You can read more about this shoot in ‘Our Driving Force’ in our #FerrariMagazine article 📖  🔗  https://t.co/77PNSs7LQt   #essereFerrari 🔴 @Ferrari #FerrariSF90Stradale #AssettoFiorano  #FerrariSF90Spider  https://t.co/YEZuwVBDyD	en	[{'screen_name': 'ferrari', 'name': 'ferrari', 'id': '2650413864'}]	['https://bit.ly/Our_Driving_Force']	['https://pbs.twimg.com/media/FLEBrIXXwAEKDXe.jpg']	3	50	756	['ferrarimagazine', 'essereferrari', 'ferrarisf90stradale', 'assettofiorano', 'ferrarisf90spider']	[]	https://twitter.com/ScuderiaFerrari/status/1490975701801275392	False		1	https://pbs.twimg.com/media/FLEBrIXXwAEKDXe.jpg							[]				
1490975690807980032	1490975669685473281	2022-02-08 14:38:00 IST	2022-02-08	14:38:00	+0530	108247668	scuderiaferrari	Scuderia Ferrari		“Objects in mirror are closer than they appear” 😉  #essereFerrari 🔴 #FerrariMagazine @Ferrari  #FerrariSF90Stradale #AssettoFiorano  #FerrariSF90Spider  https://t.co/vDUOHIgUo7	en	[{'screen_name': 'ferrari', 'name': 'ferrari', 'id': '2650413864'}]	[]	['https://pbs.twimg.com/media/FLEBXAVXsAE-E2Z.jpg', 'https://pbs.twimg.com/media/FLEBa23XoAAjdTq.jpg']	4	45	922	['essereferrari', 'ferrarimagazine', 'ferrarisf90stradale', 'assettofiorano', 'ferrarisf90spider']	[]	https://twitter.com/ScuderiaFerrari/status/1490975690807980032	False		1	https://pbs.twimg.com/media/FLEBXAVXsAE-E2Z.jpg							[]				
1490975680980422657	1490975669685473281	2022-02-08 14:37:57 IST	2022-02-08	14:37:57	+0530	108247668	scuderiaferrari	Scuderia Ferrari		⚫️⚪️  #essereFerrari 🔴 #FerrariMagazine @Ferrari  #FerrariSF90Stradale #AssettoFiorano  #FerrariSF90Spider  https://t.co/rlR6vcmw5j	und	[{'screen_name': 'ferrari', 'name': 'ferrari', 'id': '2650413864'}]	[]	['https://pbs.twimg.com/media/FLEAvKBWYAIBGvU.jpg', 'https://pbs.twimg.com/media/FLEA-92XEAQsL0F.jpg']	4	40	510	['essereferrari', 'ferrarimagazine', 'ferrarisf90stradale', 'assettofiorano', 'ferrarisf90spider']	[]	https://twitter.com/ScuderiaFerrari/status/1490975680980422657	False		1	https://pbs.twimg.com/media/FLEAvKBWYAIBGvU.jpg							[]				
1490975669685473281	1490975669685473281	2022-02-08 14:37:55 IST	2022-02-08	14:37:55	+0530	108247668	scuderiaferrari	Scuderia Ferrari		Ever wondered what happens when we have…  👥 Two drivers  🚗 Two @Ferrari: #FerrariSF90Stradale #AssettoFiorano and #FerrariSF90Spider 📍 One @autodromoimola    ⬇️ 𝘼 𝙩𝙝𝙧𝙚𝙖𝙙...  #essereFerrari 🔴 #FerrariMagazine  https://t.co/PVcUbaWGtz	en	[{'screen_name': 'ferrari', 'name': 'ferrari', 'id': '2650413864'}, {'screen_name': 'autodromoimola', 'name': 'autodromo di imola', 'id': '271887392'}]	[]	['https://pbs.twimg.com/media/FLEAbmEWYAAZA6v.jpg']	40	181	2835	['ferrarisf90stradale', 'assettofiorano', 'ferrarisf90spider', 'essereferrari', 'ferrarimagazine']	[]	https://twitter.com/ScuderiaFerrari/status/1490975669685473281	False		1	https://pbs.twimg.com/media/FLEAbmEWYAAZA6v.jpg							[]				
1490753615484661764	1489686880652505089	2022-02-07 23:55:33 IST	2022-02-07	23:55:33	+0530	108247668	scuderiaferrari	Scuderia Ferrari		@sabienerades We're great! How are you?	en	[]	[]	[]	1	0	13	[]	[]	https://twitter.com/ScuderiaFerrari/status/1490753615484661764	False		0								[{'screen_name': 'sabienerades', 'name': 'Sabien ¹ ⁵ | SV5 | MV WORLD CHAMPION🦁🧡', 'id': '1353779407878561792'}]				
1490753553748615170	1489695879586099204	2022-02-07 23:55:18 IST	2022-02-07	23:55:18	+0530	108247668	scuderiaferrari	Scuderia Ferrari		@theycallmesole1 😂	und	[]	[]	[]	1	0	5	[]	[]	https://twitter.com/ScuderiaFerrari/status/1490753553748615170	False		0								[{'screen_name': 'theycallmesole1', 'name': 'sun :)', 'id': '1278098225946337280'}]				
1490753485381554176	1489696860898004994	2022-02-07 23:55:02 IST	2022-02-07	23:55:02	+0530	108247668	scuderiaferrari	Scuderia Ferrari		@anoukwssls We love replying to them 🥰	en	[]	[]	[]	0	0	9	[]	[]	https://twitter.com/ScuderiaFerrari/status/1490753485381554176	False		0								[{'screen_name': 'anoukwssls', 'name': 'an🏁', 'id': '917342674037985280'}]				
1490753429316284416	1489702580691378182	2022-02-07 23:54:49 IST	2022-02-07	23:54:49	+0530	108247668	scuderiaferrari	Scuderia Ferrari		@Figz__ Ciao 👋	it	[]	[]	[]	0	0	3	[]	[]	https://twitter.com/ScuderiaFerrari/status/1490753429316284416	False		0								[{'screen_name': 'Figz__', 'name': 'Figz', 'id': '989246167425970176'}]				
1490753357874667520	1490279101738926083	2022-02-07 23:54:32 IST	2022-02-07	23:54:32	+0530	108247668	scuderiaferrari	Scuderia Ferrari		"@leclerc16CL The wheels are bigger this season... Going from 13"" to 18"" 😉"	en	[]	[]	[]	1	1	53	[]	[]	https://twitter.com/ScuderiaFerrari/status/1490753357874667520	False		0								[{'screen_name': 'leclerc16CL', 'name': 'Miks 🇵🇭', 'id': '1410475055352483844'}]				
